"","Ticker_x","SimFinId","Report.Date","Fiscal.Year","Current.Ratio","Quick.Ratio","Total.Debt.Ratio","Debt.to.Asset.Ratio","Cash.Coverage.Ratio","Interest.Coverage.Ratio","Current.Ratio.T","Current.Ratio.out","Quick.Ratio.T","Quick.Ratio.Out","Total.Debt.Ratio.T","Total.Debt.Ratio.out","Debt.to.Asset.Ratio.T","Debt.to.Asset.Ratio.out","Cash.Coverage.Ratio.T","Cash.Coverage.Ratio.out","Interest.Coverage.Ratio.T","Interest.Coverage.Ratio.out"
"1699","BSQR",101318,"12/31/12",2012,2.251187,2.180933,0.366579,11.043234,0.075601,0.041038,0.811457632663375,0,0.779752766894349,0,-1.00354122835966,0,2.40181793273454,0,8.32586937988529,0,8.66527538741447,0
"1700","BSQR",101318,"12/31/13",2013,2.033613,1.91245,0.447433,11.35003,-0.083469,-0.107828,0.709814014036869,0,0.648385142585949,0,-0.804228473146877,0,2.42922038709572,0,8.32583085711443,0,8.66524971186127,0
"1701","BSQR",101318,"12/31/14",2014,2.389873,2.347806,0.395081,10.717674,0.108267,0.08653,0.871240226456228,0,0.85348127504297,0,-0.928664471812479,0,2.37189415448767,0,8.32587729058887,0,8.665283233482,0
"1702","BSQR",101318,"12/31/15",2015,2.887627,2.853663,0.332097,9.160812,0.24409,0.224057,1.06043505756468,0,1.04860343219479,0,-1.10232818406391,0,2.2149348210454,0,8.32591018208375,0,8.66530695257765,0
"1703","BSQR",101318,"12/31/16",2016,2.752436,2.709015,0.375295,8.322513,-0.019442,-0.040204,1.01248633775491,0,0.996585100186189,0,-0.980042895605103,0,2.11896425249646,0,8.32584636302903,0,8.66526137534235,0
"1704","BSQR",101318,"12/31/17",2017,2.485568,2.454123,0.364203,10.237715,-0.304366,-0.326326,0.910501204858694,0,0.897769467282031,0,-1.01004387449027,0,2.32607845017967,0,8.32577735893092,0,8.66521202538647,0
"1705","BSQR",101318,"12/31/18",2018,2.388811,2.310009,0.426736,15.772484,-0.331899,-0.354098,0.870795752614692,0,0.837251420630008,0,-0.851589723938279,0,2.75826690283847,0,8.32577069062035,0,8.66520723517783,0
"1775","CA",262416,"3/31/10",2009,1.114214,0.98129,0.580501,0.129963,20,16.157895,0.108149223594746,0,-0.0188872463851514,0,-0.543863755192789,0,-2.04050548442182,0,8.33068287400083,0,8.6680512384728,0
"1776","CA",262416,"3/31/11",2010,1.114257,1.013262,0.547176,0.12497,36.288889,27.866667,0.108187815077431,0,0.0131748295353529,0,-0.602984773284782,0,-2.07968157048444,0,8.33460093134546,0,8.67006305140099,0
"1777","CA",262416,"3/31/12",2011,1.057051,0.954679,0.550138,0.108444,50.4,39,0.0554829554875997,0,-0.0463801206587465,0,-0.597586123137133,0,-2.22152136827432,0,8.33798278995566,0,8.67197224520379,0
"1778","CA",262416,"3/31/13",2012,1.165208,1.025699,0.538722,0.109183,40.159091,29.636364,0.152899611853689,0,0.0253743313868122,0,-0.618555611072551,0,-2.21472990544603,0,8.33552959995561,0,8.67036677072193,0
"1779","CA",262416,"3/31/14",2013,1.162417,1.033146,0.536451,0.146971,27.5,19.814815,0.150501458080964,0,0.0326085160653332,0,-0.622780053794492,0,-1.91751999057701,0,8.33248879792049,0,8.66868000888202,0
"1780","CA",262416,"3/31/15",2014,1.356705,1.17631,0.487378,0.114554,33.276596,24.723404,0.305058965915469,0,0.162382420180802,0,-0.718715276273852,0,-2.16670895144306,0,8.33387752369772,0,8.66952337010787,0
"1781","CA",262416,"3/31/16",2015,1.230477,1.18763,0.519993,0.174313,29.352941,22.254902,0.207401899085499,0,0.171959724619063,0,-0.653939929035733,0,-1.74690274518693,0,8.3329344653609,0,8.6690993373609,0
"1782","CA",262416,"3/31/17",2016,1.24185,1.175981,0.54885,0.221332,23.467742,18.306452,0.216602203270787,0,0.162102692883333,0,-0.599930098848812,0,-1.50809144228834,0,8.33151827647635,0,8.66842070902192,0
"1783","CA",262416,"3/31/18",2017,1.327311,1.264077,0.548622,0.213093,15.27551,11.418367,0.28315509111662,0,0.234342211590776,0,-0.600345599204684,0,-1.54602658884506,0,8.32954358815801,0,8.66723573588463,0
"1784","CACI",254661,"6/30/11",2011,1.788748,1.687611,0.435542,0.176687,13.284998,10.86247,0.581515933788667,0,0.523313919379062,0,-0.831164046467141,0,-1.7333754733873,0,8.32906319778645,0,8.66714004238088,0
"1785","CACI",254661,"6/30/12",2012,1.414211,1.32923,0.512422,0.223935,14.763329,12.441351,0.34657177840694,0,0.284599827210502,0,-0.668606774674378,0,-1.49639944780847,0,8.32942000039167,0,8.66741181098837,0
"1786","CACI",254661,"6/30/13",2013,0.974797,0.914422,0.516405,0.238803,12.584979,10.490394,-0.0255260347901918,0,-0.0894631072983977,0,-0.660863937639793,0,-1.43211633472853,0,8.32889420026374,0,8.66707598716891,0
"1787","CACI",254661,"6/30/14",2014,1.741296,1.609233,0.595383,0.381137,8.453902,6.745715,0.554629663566237,0,0.475757667967494,0,-0.518550383041876,0,-0.964596388436356,0,8.32789629992118,0,8.66643108869365,0
"1788","CACI",254661,"6/30/15",2015,1.666604,1.580058,0.543412,0.328055,8.701997,6.800765,0.510788023059093,0,0.457461555225881,0,-0.609887499053742,0,-1.11457400172837,0,8.32795625770654,0,8.66644057226824,0
"1789","CACI",254661,"6/30/16",2016,1.631064,1.509086,0.596896,0.365167,8.009675,6.435656,0.489232562599246,0,0.411504169546788,0,-0.516012385119985,0,-1.00740049578995,0,8.3277889334062,0,8.66637767252413,0
"1790","CACI",254661,"6/30/17",2017,1.670455,1.562201,0.541375,0.314891,7.586468,6.1112,0.513096044409336,0,0.446095724316759,0,-0.613643079447346,0,-1.15552873178534,0,8.32768663655273,0,8.66632177302109,0
"1791","CACI",254661,"6/30/18",2018,1.727688,1.619844,0.477744,0.263333,9.822438,8.104958,0.546784098524192,0,0.48232984831121,0,-0.73868025481032,0,-1.33433588801277,0,8.32822699292441,0,8.66666522192721,0
"1841","CAMP",75639,"2/29/12",2011,1.685903,0.846744,0.514831,0.058274,7.785091,5.844568,0.522301325303009,0,-0.166356873226102,0,-0.663916587512952,0,-2.84259925422471,0,8.32773464865894,0,8.66627583349386,0
"1842","CAMP",75639,"2/28/13",2012,3.688176,2.839891,0.220347,0.03114,38.488706,32.813142,1.30513202689841,0,1.04376567115488,0,-1.5125517024907,0,-3.46926211257628,0,8.33512889096903,0,8.67091174509044,0
"1843","CAMP",75639,"2/28/14",2013,2.190061,1.534665,0.257262,0.010365,64.982801,45.068796,0.783929397321776,0,0.428312116178773,0,-1.35766025812561,0,-4.56932053309439,0,8.34146571802817,0,8.67301141657378,0
"1844","CAMP",75639,"2/28/15",2014,2.468971,1.963153,0.252851,0,115.966216,84.256757,0.903801464648051,0,0.674551854182634,0,-1.37495489654998,0,-Inf,0,8.35354803172396,0,8.67969576947033,0
"1845","CAMP",75639,"2/29/16",2015,6.027782,5.599475,0.507114,0.363719,5.04187,3.697828,1.79637911554493,0,1.7226728433463,0,-0.679019448595386,0,-1.01137368749585,0,8.32707134007169,0,8.66590588266326,0
"1846","CAMP",75639,"2/28/17",2016,2.655477,2.156075,0.600033,0.359748,2.383994,0.012429,0.976624299573744,0,0.768289439083639,0,-0.510770625278435,0,-1.02235149264637,0,8.32642824790384,0,8.66527045314953,0
"1847","CAMP",75639,"2/28/18",2017,2.887971,2.382345,0.579453,0.326218,3.007004,0.773833,1.06055417942892,0,0.868085296717388,0,-0.545670723891815,0,-1.120189409447,0,8.3265790267564,0,8.66540176608122,0
"1848","CAMP",75639,"2/28/19",2018,4.826981,4.212018,0.659304,0.457079,2.853402,1.656702,1.57422122047836,0,1.43794186776687,0,-0.416570545840487,0,-0.78289903650684,0,8.3265418546118,0,8.66555400547241,0
"1849","CARG",645427,"12/31/17",2017,3.6588,3.497789,0.280695,2.926084,0.585301,0.468818,1.29713522480007,0,1.25213105459411,0,-1.27048660838428,0,1.07366501031983,0,8.32599280646741,0,8.66534916478464,0
"1850","CARG",645427,"12/31/18",2018,3.152532,2.771412,0.276488,0.035018,0.818451,0.672598,1.14820593947949,0,1.01935693761465,0,-1.28558785859988,0,-3.35189306397801,0,8.32604925990974,0,8.66538430792772,0
"1981","CDNS",107614,"12/31/11",2011,1.047881,0.730191,0.766572,0.24186,4.936316,2.806206,0.0467700298332837,0,-0.314449135226863,0,-0.265826651617943,0,-1.41939623262501,0,8.32704580840852,0,8.66575218790924,0
"1982","CDNS",107614,"12/31/12",2012,1.142914,0.7598,0.599838,0.616246,8.663923,6.095936,0.133581141387032,0,-0.274700038228612,0,-0.511095660222553,0,-0.484109044518514,0,8.32794705649416,0,8.66631914315762,0
"1983","CDNS",107614,"12/31/13",2013,1.063474,0.645067,0.523963,0.516221,8.663923,6.095936,0.0615409077805585,0,-0.438401091612107,0,-0.64633420784117,0,-0.661220310618872,0,8.32794705649416,0,8.66631914315762,0
"1984","CDNS",107614,"12/31/14",2014,1.063474,0.645067,0.523963,0.13375,9.745611,6.356672,0.0615409077805585,0,-0.438401091612107,0,-0.64633420784117,0,-2.01178289320602,0,8.32820843134711,0,8.66636406490711,0
"1985","CDNS",107614,"12/31/15",2015,1.797916,1.633452,0.413299,0.146359,14.415104,10.241284,0.586628216381886,0,0.49069556687059,0,-0.883583977017341,0,-1.92169277132236,0,8.32933596600182,0,8.66703309903016,0
"1986","CDNS",107614,"12/31/16",2016,1.198906,1.068136,0.646255,0.306877,17.129024,12.076722,0.181409474306487,0,0.0659150732548186,0,-0.436561116245521,0,-1.18130826314298,0,8.32999070801647,0,8.66734905492228,0
"1987","CDNS",107614,"12/31/17",2017,1.525515,1.374487,0.591022,0.26641,17.490843,12.98944,0.422332057967936,0,0.318080570593715,0,-0.525902037226572,0,-1.32271880348288,0,8.33007796564835,0,8.6675061348303,0
"1988","CDNS",107614,"12/31/18",2018,1.34149,1.171229,0.478096,0.13987,22.733005,17.60223,0.293780936513604,0,0.158053624847325,0,-0.737943729835612,0,-1.96704185919092,0,8.33134133162926,0,8.6682996245086,0
"1997","CDW",683318,"12/31/13",2013,1.578141,1.168615,0.879874,0.548763,2.866054,2.033587,0.456247572044054,0,0.155819286927804,0,-0.127976563579562,0,-0.600088624668353,0,8.32654491648596,0,8.66561898737981,0
"1998","CDW",683318,"12/31/14",2014,1.671253,1.298093,0.845866,0.521075,4.464774,3.411049,0.51357364449598,0,0.260896264405546,0,-0.167394324356308,0,-0.651861293654403,0,8.32693174269937,0,8.66585645125603,0
"1999","CDW",683318,"12/31/15",2015,1.478726,1.088857,0.837772,0.48254,6.077743,4.652038,0.391180906254831,0,0.0851285221971862,0,-0.17700929189186,0,-0.728691460084836,0,8.32732186501816,0,8.66607033995957,0
"2000","CDW",683318,"12/31/16",2016,1.419783,1.066471,0.849534,0.465488,7.32901,5.591809,0.350504043034069,0,0.0643550668108551,0,-0.16306731512781,0,-0.764668961329838,0,8.32762439913681,0,8.66623228227517,0
"2001","CDW",683318,"12/31/17",2017,1.346616,0.98073,0.858527,0.464424,7.488372,5.754817,0.297594778834781,0,-0.019458086657123,0,-0.15253714893531,0,-0.766957350907181,0,8.32766292346573,0,8.6662603693144,0
"2002","CDW",683318,"12/31/18",2018,1.3545,1.026364,0.863945,0.447647,8.431359,6.644011,0.303432382543013,0,0.0260224596589742,0,-0.146246169611707,0,-0.803750303588675,0,8.32789085171562,0,8.66641356770376,0
"2031","CERN",259186,"12/31/10",2010,3.74613,3.425327,0.213544,0.038286,10.965738,7.129664,1.32072330710367,0,1.23119694160935,0,-1.5439123785539,0,-3.26267098486787,0,8.32850317608967,0,8.66649723048891,0
"2032","CERN",259186,"12/31/11",2011,3.424309,3.049758,0.229825,0.042176,12.34365,8.441365,1.23089969953473,0,1.1150622432091,0,-1.47043712923232,0,-3.16590394010209,0,8.32883593236264,0,8.66672316046898,0
"2033","CERN",259186,"12/31/12",2012,3.086483,2.783313,0.235072,0.052947,13.384914,9.633899,1.12703225497985,0,1.02364194477875,0,-1.44786342878494,0,-2.9384638657636,0,8.32908731702627,0,8.66692852059918,0
"2034","CERN",259186,"12/31/13",2013,2.750812,2.283313,0.227091,0.040461,13.261015,9.160814,1.01189614082134,0,0.825627458456885,0,-1.48240446077481,0,-3.20741673177931,0,8.32905740831951,0,8.66684705811758,0
"2035","CERN",259186,"12/31/14",2014,3.70287,3.300638,0.212909,0.028766,15.988021,11.507562,1.30910819464495,0,1.19411578311929,0,-1.54689043460842,0,-3.54856114480044,0,8.32971548956366,0,8.66725108928314,0
"2036","CERN",259186,"12/31/15",2015,2.349804,1.989115,0.304136,0.108801,15.132407,9.967251,0.85433192042242,0,0.687689816199434,0,-1.19028030919428,0,-2.21823475342606,0,8.32950905936328,0,8.66698591788681,0
"2037","CERN",259186,"12/31/16",2016,1.915495,1.539378,0.302314,0.100134,16.652053,11.075886,0.649976074870639,0,0.431378438733641,0,-1.19628906665809,0,-2.30124598999282,0,8.32987566825935,0,8.66717678142933,0
"2038","CERN",259186,"12/31/17",2017,3.014491,2.341134,0.2603,0.081417,17.546204,11.301767,1.10343099337312,0,0.850635427366114,0,-1.34592046698162,0,-2.50817118256992,0,8.33009131604389,0,8.66721566482713,0
"2039","CERN",259186,"12/31/18",2018,2.408672,2.034824,0.265366,0.066141,15.269761,8.748893,0.879075558281292,0,0.7104093286679,0,-1.32664527380607,0,-2.71596645209918,0,8.329542201026,0,8.66677612231551,0
"2064","CGNX",710555,"12/31/10",2010,5.125753,4.169,0.11216,0.977937,2.832092,2.507548,1.63427744106105,0,1.42767619889866,0,-2.18782885569586,0,-0.0223100282001093,0,8.32653669741875,0,8.66570070098175,0
"2065","CGNX",710555,"12/31/11",2011,5.27393,4.264671,0.096262,0.852512,3.153151,2.829717,1.66277581518469,0,1.45036503846062,0,-2.34068163826089,0,-0.1595679936772,0,8.32661439348589,0,8.66575624095834,0
"2066","CGNX",710555,"12/31/12",2012,4.781993,3.845042,0.088145,0.838723,3.498341,3.095382,1.56485740521239,0,1.34678452617493,0,-2.42877209324443,0,-0.175874781974439,0,8.32669792250542,0,8.66580203766842,0
"2067","CGNX",710555,"12/31/13",2013,5.441497,4.563616,0.092697,0.735797,2.810603,2.456181,1.69405420683526,0,1.51811529173796,0,-2.37841916939355,0,-0.306801013514665,0,8.32653149687931,0,8.66569184533816,0
"2068","CGNX",710555,"12/31/14",2014,3.370491,2.308092,0.103801,0.64348,4.376215,3.987399,1.21505843108082,0,0.83642120920323,0,-2.26527967438539,0,-0.44086433246003,0,8.32691031888242,0,8.66595579284169,0
"2069","CGNX",710555,"12/31/15",2015,8.279206,7.288202,0.069939,0.589187,4.391261,3.934196,2.11374707007927,0,1.98625687636829,0,-2.66013184541881,0,-0.529011658452414,0,8.32691395877917,0,8.66594662301069,0
"2070","CGNX",710555,"12/31/16",2016,8.002433,7.241163,0.07318,0.508931,5.69798,5.209715,2.0797456204432,0,1.97978182885626,0,-2.61483311939108,0,-0.675442831542105,0,8.32723002696753,0,8.66616644260361,0
"2071","CGNX",710555,"12/31/17",2017,5.593208,4.651583,0.149159,0.441189,8.322014,7.810272,1.72155300449177,0,1.53720759177361,0,-1.90274242790423,0,-0.818281923917224,0,8.32786442473022,0,8.66661446613125,0
"2072","CGNX",710555,"12/31/18",2018,8.541502,7.166741,0.119724,0.430944,7.297744,6.649764,2.14493687055586,0,1.96945101850474,0,-2.12256618526277,0,-0.841777127714506,0,8.32761684068861,0,8.66641455880625,0
"2154","CIEN",49697,"10/31/10",2010,3.067525,2.196574,0.924794,0.681134,-3.803972,-15.353897,1.12087104752897,0,0.786898873827505,0,-0.0781842689743438,0,-0.383996222732514,0,8.32492942092337,0,8.66261666019367,0
"2155","CIEN",49697,"10/31/11",2011,2.939049,2.115589,0.992891,0.739136,1.174398,-3.71781,1.07808605963533,0,0.749333260725571,0,-0.00713438934060443,0,-0.302273342489515,0,8.32613544048195,0,8.66462688097485,0
"2156","CIEN",49697,"10/31/15",2015,2.794775,2.214085,0.769624,0.47277,3.525898,1.755425,1.02775160247224,0,0.794839225600076,0,-0.261853195085698,0,-0.749146266680048,0,8.32670459044304,0,8.66557102754196,0
"2157","CIEN",49697,"10/31/16",2016,2.258094,1.827275,0.733314,0.43628,4.426243,2.386071,0.814521094621826,0,0.602825786046981,0,-0.31018129228773,0,-0.829471039921595,0,8.32692242149999,0,8.66567975828475,0
"2158","CIEN",49697,"10/31/17",2017,1.933341,1.485752,0.459388,0.236855,6.170336,4.072889,0.659249594393643,0,0.395921041385214,0,-0.777860110095726,0,-1.44030713942777,0,8.32734425549581,0,8.66597052733943,0
"2159","CIEN",49697,"10/31/18",2018,2.224917,1.745484,0.486404,0.184599,5.398734,3.763429,0.799719611551629,0,0.557031881092984,0,-0.720715724679784,0,-1.68956937404615,0,8.32715765439352,0,8.66591718980663,0
"2201","CLFD",824450,"9/30/11",2011,5.056008,4.078379,0.134411,16.54659,0.141597,0.129003,1.62057723912179,0,1.40569960554839,0,-2.00685300900413,0,2.80618003829737,0,8.32588536202838,0,8.6652905588029,0
"2202","CLFD",824450,"9/30/12",2012,7.539327,5.902882,0.080933,13.276326,72.31921174,48.54982858,2.02013292074177,0,1.77544070622308,0,-2.51413362708953,0,2.58598244914528,0,8.34321335633506,0,8.67360699334915,0
"2203","CLFD",824450,"9/30/13",2013,5.415918,3.743545,0.136497,10.819276,72.31921174,48.54982858,1.68934239517039,0,1.32003302345247,0,-1.99145264262062,0,2.38132935805571,0,8.34321335633506,0,8.67360699334915,0
"2204","CLFD",824450,"9/30/14",2014,7.455874,5.851755,0.098389,9.677207,72.31921174,48.54982858,2.00900217809887,0,1.76674161625276,0,-2.31882626979063,0,2.26977332659696,0,8.34321335633506,0,8.67360699334915,0
"2205","CLFD",824450,"9/30/15",2015,6.658935,5.229799,0.110164,8.713932,72.31921174,48.54982858,1.89595956185544,0,1.65437284521593,0,-2.20578511440034,0,2.16492312413026,0,8.34321335633506,0,8.67360699334915,0
"2206","CLFD",824450,"9/30/16",2016,6.588795,5.354886,0.11334,7.121155,72.31921174,48.54982858,1.88537047898752,0,1.6780094151577,0,-2.17736312824066,0,1.96306993136891,0,8.34321335633506,0,8.67360699334915,0
"2207","CLFD",824450,"9/30/17",2017,8.777826,6.76543,0.071501,7.219299,72.31921174,48.54982858,2.1722287687866,0,1.91182582205655,0,-2.63804384336599,0,1.97675785677832,0,8.34321335633506,0,8.67360699334915,0
"2208","CLFD",824450,"9/30/18",2018,8.079777,5.957706,0.072125,6.76057,72.31921174,48.54982858,2.08936427314224,0,1.78468550765564,0,-2.62935455415387,0,1.91110720602681,0,8.34321335633506,0,8.67360699334915,0
"2337","CMTL",48404,"7/31/11",2011,7.527458,6.554494,0.328881,0.213331,19.626627,15.898899,2.01855740181651,0,1.88015092125368,0,-1.11205929577442,0,-1.54491032885634,0,8.33059288429182,0,8.66800669173474,0
"2338","CMTL",48404,"7/31/12",2012,6.253415,5.131402,0.403426,0.277863,9.412602,7.085395,1.83312771452618,0,1.63537891619156,0,-0.907762203382308,0,-1.28062709251556,0,8.32812797163456,0,8.66648960461811,0
"2339","CMTL",48404,"7/31/13",2013,1.819648,1.510853,0.407373,1.167224,6.954545,4.929817,0.59864307578983,0,0.412674391992769,0,-0.898026051317899,0,0.15462828004383,0,8.32753386975265,0,8.66611820985588,0
"2340","CMTL",48404,"7/31/14",2014,4.39421,3.163519,0.162344,1.114539,10.55537,8.142831,1.48028776526464,0,1.15168501559277,0,-1.81803773830747,0,0.108440866502061,0,8.32840405363696,0,8.66667174486759,0
"2341","CMTL",48404,"7/31/15",2015,4.674697,3.422727,0.152926,0,632.608108,460.5,1.54216434780598,0,1.23043760176625,0,-1.87780113472171,0,-Inf,0,8.46839322987881,0,8.74169581876808,0
"2342","CMTL",48404,"7/31/16",2016,1.648904,1.182605,0.489358,0.280775,5.770089,2.717962,0.500110824781507,0,0.167719632367919,0,-0.714660951026917,0,-1.27020164213304,0,8.32724746572894,0,8.66573697542531,0
"2343","CMTL",48404,"7/31/17",2017,1.671468,1.15668,0.42294,0.235321,5.380071,2.164346,0.513702282213753,0,0.14555383260174,0,-0.860524953968298,0,-1.44680473946236,0,8.32715314057788,0,8.66564153165031,0
"2344","CMTL",48404,"7/31/18",2018,1.692474,1.154897,0.401669,0.19866,6.680544,3.356781,0.526191363795604,0,0.144011162508031,0,-0.912126912613734,0,-1.61616045819493,0,8.32746762301051,0,8.6658470969363,0
"2408","COHR",365654,"9/30/11",2011,3.575296,2.224316,0.267134,4e-05,72.31921174,48.54982858,1.27404796992127,0,0.799449452625965,0,-1.32000487381867,0,-10.1266311038503,0,8.34321335633506,0,8.67360699334915,0
"2409","COHR",365654,"9/30/12",2012,3.995663,2.401189,0.237424,2.2e-05,72.31921174,48.54982858,1.38520952289563,0,0.875964031342246,0,-1.43790770671837,0,-10.724468104606,0,8.34321335633506,0,8.67360699334915,0
"2410","COHR",365654,"9/30/13",2013,4.31485,2.652913,0.215173,0.592785,72.31921174,48.54982858,1.46206256147462,0,0.975658281553443,0,-1.53631292324987,0,-0.522923508964127,0,8.34321335633506,0,8.67360699334915,0
"2411","COHR",365654,"9/30/14",2014,5.805155,3.88342,0.179838,0.560944,72.31921174,48.54982858,1.75874631591311,0,1.35671620869113,0,-1.71569883333509,0,-0.578134200188843,0,8.34321335633506,0,8.67360699334915,0
"2412","COHR",365654,"9/30/15",2015,5.324113,3.815768,0.178058,0.576056,72.31921174,48.54982858,1.67224612495075,0,1.33914195509215,0,-1.72564593906862,0,-0.551550400789798,0,8.34321335633506,0,8.67360699334915,0
"2413","COHR",365654,"9/30/16",2016,4.047957,2.807369,0.21558,0.017224,756.251232,628.640394,1.3982123093991,0,1.03224774581163,0,-1.53442320862865,0,-4.06145151892007,0,8.49402716555917,0,8.76820719141753,0
"2414","COHR",365654,"9/30/17",2017,3.12938,1.863899,0.502411,0.254119,11.020798,9.707712,1.14083490186393,0,0.622670530246008,0,-0.68833676916338,0,-1.3699526177403,0,8.32851647482514,0,8.66694123016941,0
"2415","COHR",365654,"9/30/18",2018,3.321823,1.785824,0.418371,0.188402,18.418397,16.221083,1.20051372861568,0,0.579879933365583,0,-0.871386680297068,0,-1.66917730118497,0,8.33030162328979,0,8.66806210636764,0
"2441","COMM",446289,"12/31/13",2013,2.449393,1.607414,0.770173,0.531162,3.182426,1.933637,0.895840238758229,0,0.474626676476108,0,-0.261140114045453,0,-0.632688219523323,0,8.32662147771636,0,8.6656017545725,0
"2442","COMM",446289,"12/31/14",2014,3.841043,2.819023,0.734065,0.542784,4.990867,3.499302,1.34574394430241,0,1.0363903710203,0,-0.309157698430149,0,-0.611043828242902,0,8.32705900342101,0,8.66587166347388,0
"2443","COMM",446289,"12/31/15",2015,2.926089,2.037573,0.837028,0.698908,2.625936,1.309422,1.07366671908682,0,0.711759393711924,0,-0.177897756244548,0,-0.358236162005687,0,8.32648680461936,0,8.66549412427328,0
"2444","COMM",446289,"12/31/16",2016,2.324227,1.609426,0.804804,0.638759,3.879379,2.412327,0.843387510639599,0,0.475877593688256,0,-0.217156509470087,0,-0.448228047543917,0,8.32679011791725,0,8.66568428486974,0
"2445","COMM",446289,"12/31/17",2017,2.685938,1.869247,0.765989,0.620507,3.557234,2.062158,0.988030015183856,0,0.62553567597484,0,-0.266587469657972,0,-0.477218393176289,0,8.32671217272719,0,8.66562391337364,0
"2446","COMM",446289,"12/31/18",2018,2.719085,1.836953,0.735043,0.601146,3.687026,2.165928,1.0002954266549,0,0.608108220712432,0,-0.307826278079197,0,-0.508917445496689,0,8.32674357752171,0,8.66564180440116,0
"2485","COUP",811353,"1/31/17",2016,2.410017,2.297235,0.387411,1.892052,-0.98349,-1.129345,0.879633801419593,0,0.831706225831343,0,-0.948269133987988,0,0.637661954395768,0,8.3256128666084,0,8.66507350868784,0
"2486","COUP",811353,"1/31/18",2017,1.543931,1.497491,0.579797,1.353637,-1.066119,-1.28168,0.434331761484825,0,0.403791040972713,0,-0.545077236705967,0,0.302795044011607,0,8.3255928509852,0,8.66504722950883,0
"2487","COUP",811353,"1/31/19",2018,1.080877,1.036913,0.576684,1.105944,-2.949193,-3.783352,0.0777727486494689,0,0.036248029874513,0,-0.550460822806681,0,0.100699268906862,0,8.32513659620883,0,8.66461556941485,0
"2516","CPSI",497906,"12/31/11",2011,3.249338,2.679707,0.241399,6.71603,1.563452,1.474192,1.17845128328586,0,0.985707460187776,0,-1.42130411282936,0,1.90449720614993,0,8.326229628304,0,8.66552253587323,0
"2517","CPSI",497906,"12/31/12",2012,2.833686,2.217878,0.258023,6.620379,1.641351,1.524489,1.04157833767058,0,0.796550882906805,0,-1.35470655074708,0,1.89015261906544,0,8.32624848615522,0,8.66553120851841,0
"2518","CPSI",497906,"12/31/13",2013,3.391556,1.98165,0.253441,5.517579,1.935572,1.811913,1.22128881313558,0,0.683929831010336,0,-1.37262422465679,0,1.70793917712509,0,8.32631970819851,0,8.66558076721558,0
"2519","CPSI",497906,"12/31/16",2016,1.439619,1.099758,0.534218,0.450556,4.178998,3.715691,0.364378495246231,0,0.095090155600775,0,-0.626951283628722,0,-0.797272903332831,0,8.3268626073346,0,8.66590896158482,0
"2520","CPSI",497906,"12/31/17",2017,1.416852,0.944478,0.572347,0.447602,4.66197,4.342296,0.348437509240976,0,-0.0571228850593385,0,-0.558009828179392,0,-0.803850834279104,0,8.32697944586888,0,8.66601695914935,0
"2521","CPSI",497906,"12/31/18",2018,1.81643,1.200062,0.512479,0.39991,4.904844,4.667942,0.59687303629113,0,0.182373222125945,0,-0.668495544418853,0,-0.916515757190453,0,8.32703819575699,0,8.66607308077154,0
"2553","CREE",178872,"6/30/11",2011,10.382957,8.582528,0.075676,0.229868,8.508138,5.322269,2.34016571192779,0,2.14972850879705,0,-2.58129420975796,0,-1.47025004785355,0,8.32790940758809,0,8.66618583754435,0
"2554","CREE",178872,"6/30/12",2012,7.804695,6.011456,0.068237,0.204989,6.011388,1.959475,2.05472547568944,0,1.79366698210137,0,-2.68476833925044,0,-1.58479895981999,0,8.32730581900283,0,8.66560620944114,0
"2555","CREE",178872,"6/30/13",2013,7.308031,5.86479,0.080513,0.190946,7.741957,3.564247,1.98897388043342,0,1.7689666758378,0,-2.51933661691261,0,-1.65576461342214,0,8.32772422229709,0,8.66588285793123,0
"2556","CREE",178872,"6/30/14",2014,5.784647,4.52504,0.105916,0,8.524682,4.312473,1.75520733890485,0,1.50962641689182,0,-2.24510895185698,0,-Inf,0,8.3279134058805,0,8.66601181931527,0
"2557","CREE",178872,"6/30/15",2015,5.134701,3.529817,0.164883,0.067842,4.229243,0.009544,1.63602161383711,0,1.26124602824162,0,-1.80251914751452,0,-2.69057380680097,0,8.32687476302777,0,8.6652699555651,0
"2558","CREE",178872,"6/30/16",2016,5.18705,3.457038,0.143972,0.057844,4.91004,0.888774,1.64616513480613,0,1.24041215306883,0,-1.93813644275735,0,-2.85000554722959,0,8.32703945260317,0,8.66542158748901,0
"2559","CREE",178872,"6/30/17",2017,5.191088,3.581357,0.161164,0.05472,3.75541,-0.028966,1.64694330911905,0,1.27574177887053,0,-1.8253327989124,0,-2.90552600566784,0,8.32676012348741,0,8.66526331360848,0
"2560","CREE",178872,"6/30/18",2018,3.584837,2.178716,0.21439,0.110709,2.718366,-0.959764,1.27671300579337,0,0.778735712452074,0,-1.5399584926643,0,-2.20085014175927,0,8.32650917435349,0,8.66510276214711,0
"2576","CRM",85017,"1/31/10",2009,1.878761,1.721032,0.570496,0.182992,84.2245,57.636,0.63061251702466,0,0.542924110897329,0,-0.561249121098101,0,-1.69831284294328,0,8.3460428832183,0,8.67515989523928,0
